Sample ID,GXT-10 (%),BiVaO4 (%),PG (%),PearlB (%)
BiVaO1,0%,1%,0%,0%
BiVaO2,0%,2%,0%,0%
BiVa05,0%,5%,0%,0%
BiVaO10,0%,10%,0%,0%
BiVaO20,0%,20%,0%,0%
GXT5,5%,0%,0%,0%
GXT10,10%,0%,0%,0%
GXT15,15%,0%,0%,0%
GXT20,20%,0%,0%,0%
GXT25,25%,0%,0%,0%
PBLUE1,0%,0%,0%,0.99625%
PBLUE2,0%,0%,0%,2.03%
PBLUE3,0%,0%,0%,2.991%
PBLUE5,0%,0%,0%,3.75%
PBLUE8,0%,0%,0%,6.02%
PG0.5,0%,0%,0.5467%,0%
PG0.75,0%,0%,0.739%,0%
PG1,0%,0%,0.995%,0%
PG1.5,0%,0%,1.475%,0%
PG2,0%,0%,2.01%,0%
OPTI 1,10%,5%,0%,0%
OPTI 2,12%,8%,0%,0%
OPTI 3,10%,8%,0%,0%
OPTI 4,12%,5%,0%,0%
OPTI 5,5%,2%,0%,0%
OPTI 6,5%,12%,0%,0%
OPTI 7,15%,3%,0%,0%
OPTI 8,15%,8%,0%,0%
OPTI 9,15%,15%,0%,0%
OPTI 10,25%,10%,0%,0%
OPTI 11,15.007%,0%,0.448%,0%
OPTI 12,14.83%,0%,0.984%,0%
OPTI 13,15%,0%,1.5%,0%
OPTI 14,14.88%,0%,0%,0.974%
OPTI 15,14.3%,0%,0%,3%
OPTI 16,12.3%,0%,0%,4.2%
OPTI 17,14.8%,4.72%,0.98%,0%
OPTI 18,14.8%,5.049%,0%,2.91%
OPTI 19,15.05%,5.085%,0.854%,0.2988%
OPTI 20,19.96%,5.949%,0.978%,3.03%
T22,20%,5%,1.5%,0%
T23,20%,5%,2%,0%
T25,20%,5%,0%,3%
T27,20%,0%,0%,3%
T22A,23.5%,5%,1.5%,0%
F052A,22%,5%,0%,3%
F052B,22%,5%,0%,15%
F052C,22%,5%,0%,9%
F052D,22%,5%,0%,7.8%
F052E,22%,5%,0%,6.9%
F052F,22%,5%,0%,5.4%
