sample_name,thickness,GXT,BiVaO4,PG,PearlB,L,a,b,area_above_1_raw,mean_fluor_raw,max_R_raw,area_above_0_sub,mean_fluor_sub,max_R_sub
OPTI6,8.0,5.0,12.0,0.0,0.0,97.5561996,-16.602131,73.1804696,1.515806999999998,0.015158069999999978,1.0397619,1.2787433999999998,0.015984292499999997,0.03751151000000008
OPTI7,8.0,15.0,3.0,0.0,0.0,100.734125,-20.5532068,53.9904711,10.133247400000002,0.09212043090909093,1.21183944,9.802138400000004,0.08911034909090913,0.20751945000000016
OPTI8,8.0,15.0,8.0,0.0,0.0,99.1973597,-20.2271088,71.7146916,6.636035299999998,0.06636035299999998,1.15067565,6.339727499999999,0.07044141666666665,0.14635566
OPTI9,8.0,15.0,15.0,0.0,0.0,98.1648166,-19.190907,87.2237452,4.968040000000002,0.04968040000000003,1.10914052,4.656269500000003,0.04656269500000003,0.10482053000000002
OPTI10,8.0,25.0,10.0,0.0,0.0,99.0756205,-19.6174204,72.0713221,6.421801999999998,0.06421801999999999,1.14299369,6.1100315,0.061100314999999995,0.1386737
OPTI1,8.0,10.0,5.0,0.0,0.0,99.1956613,-17.1591898,52.7207628,4.557415200000001,0.05063794666666668,1.10891235,4.314614100000003,0.05393267625000003,0.10459236000000005
OPTI1H,12.0,10.0,5.0,0.0,0.0,99.3387749,-18.9587636,60.6483675,5.953795999999998,0.05953795999999998,1.13917983,5.693967399999999,0.06326630444444444,0.13485984000000006
OPTI10H,12.0,25.0,10.0,0.0,0.0,99.1059628,-21.3112598,84.7746482,7.9678916000000015,0.07967891600000002,1.17733836,7.656121100000002,0.07656121100000002,0.1730183700000001
OPTI9H,12.0,15.0,15.0,0.0,0.0,98.1379223,-19.6145442,96.005656,5.7909322,0.05264483818181819,1.12665308,5.4669165,0.054669165000000006,0.12440269000000015
OPTI8H,12.0,15.0,8.0,0.0,0.0,98.9987159,-20.6395741,78.3730048,6.8211128,0.068211128,1.15416968,6.531562900000001,0.07257292111111112,0.14984969000000015
OPTI7H,12.0,15.0,3.0,0.0,0.0,100.799086,-22.3851227,61.0132421,11.187585800000004,0.10170532545454548,1.240062,10.868109300000006,0.10868109300000006,0.23574201000000006
OPTI6H,12.0,5.0,12.0,0.0,0.0,97.4061136,-16.9397925,78.424529,1.7147600000000018,0.01905288888888891,1.04545009,1.4986804000000031,0.021409720000000045,0.043199700000000174
OPTI5H,12.0,5.0,2.0,0.0,0.0,99.4642188,-14.4505433,37.1997369,3.940953000000002,0.043788366666666696,1.09403658,3.740620600000004,0.04675775750000005,0.09114686999999999
OPTI4H,12.0,12.0,5.0,0.0,0.0,99.6792184,-20.5224843,64.3708416,7.4218249000000025,0.07421824900000003,1.17173553,7.156132400000004,0.07951258222222227,0.16741554000000014
OPTI3H,12.0,10.0,8.0,0.0,0.0,98.7348776,-19.152898,70.5974734,5.1036347,0.051036346999999996,1.11880589,4.835786900000001,0.053730965555555565,0.11448590000000003
OPTI2H,12.0,12.0,8.0,0.0,0.0,98.808012,-19.4206158,71.2484882,5.402425499999999,0.054024254999999986,1.12600458,5.1362252,0.05706916888888888,0.12168459000000009
