Sample,Base_Name,Thickness_um,L,a,b,Area_Above_R1_Raw,Area_Above_R0_Sub,Max_R_Raw,Max_R_Sub,Peak_WL_Raw_nm,Peak_WL_Sub_nm
OPTI6,OPTI6,8.0,97.5561996,-16.602131,73.1804696,1.515806999999998,1.2787433999999998,1.0397619,0.03751151000000008,530,530
OPTI7,OPTI7,8.0,100.734125,-20.5532068,53.9904711,10.133247400000002,9.802138400000004,1.21183944,0.20751945000000016,520,520
OPTI8,OPTI8,8.0,99.1973597,-20.2271088,71.7146916,6.636035299999998,6.339727499999999,1.15067565,0.14635566,520,520
OPTI9,OPTI9,8.0,98.1648166,-19.190907,87.2237452,4.968040000000002,4.656269500000003,1.10914052,0.10482053000000002,520,520
OPTI10,OPTI10,8.0,99.0756205,-19.6174204,72.0713221,6.421801999999998,6.1100315,1.14299369,0.1386737,520,520
OPTI1,OPTI1,8.0,99.1956613,-17.1591898,52.7207628,4.557415200000001,4.314614100000003,1.10891235,0.10459236000000005,520,520
OPTI1H,OPTI1,12.0,99.3387749,-18.9587636,60.6483675,5.953795999999998,5.693967399999999,1.13917983,0.13485984000000006,520,520
OPTI10H,OPTI10,12.0,99.1059628,-21.3112598,84.7746482,7.9678916000000015,7.656121100000002,1.17733836,0.1730183700000001,520,520
OPTI9H,OPTI9,12.0,98.1379223,-19.6145442,96.005656,5.7909322,5.4669165,1.12665308,0.12440269000000015,530,530
OPTI8H,OPTI8,12.0,98.9987159,-20.6395741,78.3730048,6.8211128,6.531562900000001,1.15416968,0.14984969000000015,520,520
OPTI7H,OPTI7,12.0,100.799086,-22.3851227,61.0132421,11.187585800000004,10.868109300000006,1.240062,0.23574201000000006,520,520
OPTI6H,OPTI6,12.0,97.4061136,-16.9397925,78.424529,1.7147600000000018,1.4986804000000031,1.04545009,0.043199700000000174,530,530
OPTI5H,OPTI5,12.0,99.4642188,-14.4505433,37.1997369,3.940953000000002,3.740620600000004,1.09403658,0.09114686999999999,510,510
OPTI4H,OPTI4,12.0,99.6792184,-20.5224843,64.3708416,7.4218249000000025,7.156132400000004,1.17173553,0.16741554000000014,520,520
OPTI3H,OPTI3,12.0,98.7348776,-19.152898,70.5974734,5.1036347,4.835786900000001,1.11880589,0.11448590000000003,520,520
OPTI2H,OPTI2,12.0,98.808012,-19.4206158,71.2484882,5.402425499999999,5.1362252,1.12600458,0.12168459000000009,520,520
OPTI14,OPTI14,8.0,100.997882,-20.383136,40.1510942,10.869621200000001,10.637450800000003,1.24609876,0.24320904999999993,510,510
OPTI14H,OPTI14,12.0,101.347446,-23.2167184,47.6416571,12.997832299999999,12.765661900000003,1.28718114,0.28286115,520,520
OPTI15,OPTI15,8.0,99.9428346,-18.5519579,39.0683247,7.6821540000000015,7.503672200000002,1.19087672,0.18798701000000007,510,510
OPTI11,OPTI11,8.0,101.018338,-21.1069407,39.0945841,11.123311500000002,10.891141100000004,1.24889863,0.24600891999999996,510,510
OPTI11H,OPTI11,12.0,101.153419,-25.7896048,49.5416358,13.516718200000001,13.289074900000003,1.30266619,0.2983462000000001,520,520
OPTI12,OPTI12,8.0,100.084907,-24.1538086,41.3281956,10.304321000000002,10.125839200000001,1.24756348,0.2446737699999999,510,510
OPTI12H,OPTI12,12.0,100.096158,-27.3849008,47.5923302,11.727498800000001,11.549017000000003,1.28102422,0.27670423,520,520
OPTI13,OPTI13,8.0,98.980468,-25.3701351,39.6554127,8.5716596,8.3931778,1.21859515,0.21570544000000003,510,510
OPTI13H,OPTI13,12.0,99.2218502,-28.0231271,45.8795542,10.1747107,9.996228900000002,1.25362909,0.24936608999999987,520,510
OPTI16,OPTI16,8.0,99.9952727,-17.53335,36.2160578,7.3509049000000015,7.172423100000003,1.18413699,0.18124728,510,510
OPTI16H,OPTI16,12.0,98.9388672,-19.1893059,41.6233235,6.1740815000000016,5.999647300000001,1.17172122,0.16814664999999995,520,510
OPTI17,OPTI17,8.0,98.1202949,-23.565223,60.2245951,5.2268219,5.067678600000001,1.14846611,0.14414612000000004,520,520
OPTI17H,OPTI17,12.0,97.9327496,-25.5337114,67.75618,5.936115999999998,5.776972699999998,1.16815853,0.16383853999999998,520,520
OPTI19,OPTI19,8.0,97.2179809,-22.455248,60.2187568,3.474145000000002,3.319049300000001,1.10929668,0.10497668999999998,520,520
OPTI19H,OPTI19,12.0,96.3079067,-24.0978989,66.8292851,3.1145942000000004,2.9614587000000014,1.10754013,0.10322014000000013,520,520
OPTI20,OPTI20,8.0,97.2258224,-24.8674817,66.2782342,4.520475900000001,4.3653802,1.13817251,0.13385252000000003,520,520
OPTI20H,OPTI20,12.0,96.4004034,-26.9349484,74.7595113,4.4461547999999995,4.291059099999999,1.1429981,0.13867811000000008,520,520
OPTI15,OPTI15,8.0,100.339724,-18.6025151,37.3551874,8.570995400000003,8.376191900000006,1.20744586,0.20455614999999994,510,510
OPTI15H,OPTI15,12.0,100.015852,-20.353466,42.7216774,8.630931499999999,8.4524497,1.2127111,0.20982138999999989,510,510
OPTI18,OPTI18,8.0,98.2483468,-19.4859799,61.2025883,4.127576399999999,3.9684330999999995,1.12146437,0.11714438000000005,520,520
OPTI18H,OPTI18,12.0,98.1137512,-20.7465884,70.0082266,4.6724651999999995,4.5133219,1.13663876,0.13231877000000014,520,520
